slug,name,type,oa_pattern,coding_difficulty,aptitude_weightage,rounds,communication,resume,projects,hr_questions,priority,strategy
tcs,TCS,service,NQT → Digital/Prime separation; coding + aptitude + verbal,Easy–Medium (Digital needs stronger logic),Very High (40–50%),NQT OA|Technical (DSA light + projects)|HR/MR,"Clear, humble, structured STAR—not flashy",Clean 1-page; academics visible; 2 projects max highlighted,Important for Digital/Prime—not just NQT pass,Why TCS?|Willing to relocate?|Strengths/weaknesses|Gap explanation,Aptitude + communication > hard DSA,Clear NQT first. Parallel: 30 easy–medium DSA. Polish HireLens/Anony Talk bullets for Digital.
infosys,Infosys,service,Online assessment + HackWithInfy path for better roles,Easy–Medium,High,OA|Technical interview|HR,"Professional, process-oriented answers",ATS-friendly; Infosys values stability signals,Medium importance—explain stack clearly,Why Infosys over others?|Team conflict example|Learning agility,OA aptitude + basic coding,HackWithInfy if confident in UI/projects. Otherwise mass hiring OA focus.
wipro,Wipro,service,NLTH / campus drive OA—aptitude heavy,Easy,Very High,OA|Technical|HR,"Formal, concise",Simple format; avoid over-design in PDF,Explain one full-stack or frontend project,Why Wipro?|Shift flexibility|Academic consistency,Aptitude first,High-volume apply strategy. Low DSA depth OK if OA cleared.
cognizant,Cognizant,service,AMCAT/Cognizant OA—quants + logical + light code,Easy–Medium,High,OA|TR|HR,Structured answers; show teamwork,Keyword match for GenC roles,Valued in GenC Next / digital roles,Cognizant values alignment|Relocation|Pressure handling,Balanced aptitude + 20 core DSA problems,Target GenC Next if projects strong (your profile fits).
accenture,Accenture,consulting,Cognitive + technical assessment (varies by campus),Easy–Medium,High,OA|Technical|HR,Consulting tone: clarity + client mindset,Impact bullets; tools listed,Full-stack narrative helps,Why consulting?|Adaptability|Diversity/teamwork,Communication + aptitude,Emphasize product thinking from Anony Talk for digital roles.
capgemini,Capgemini,service,Online test + technical,Easy,High,OA|Technical|HR,"European MNC style—polite, direct",1 page; certifications help,Explain role in team projects,Why Capgemini?|Travel willingness|Learning goals,OA clearance,Backup mass recruiter; maintain pipeline.
deloitte,Deloitte,consulting,Aptitude + case-style questions for some tracks,Medium for tech roles,High,OA|Technical|Case/HR,High bar—articulate tradeoffs,Impact metrics; leadership verbs,Strong for Analyst/Engineering hybrid roles,Why Deloitte?|Ethics scenario|Leadership example,Communication + structured thinking,Apply if GPA/communication strong; prep case-style HR.
tech-mahindra,Tech Mahindra,service,Campus OA—aptitude + pseudo-code/code,Easy,High,OA|TR|HR,Telecom/enterprise tone OK,Standard campus format,One good demo project,Why Tech Mahindra?|Flexibility|Goals in 2 years,Volume + aptitude,Safety net company in portfolio.
product,Product Companies,product,2–4 OA rounds: DSA mediums + MCQs; system design lite later,Medium–Hard (role dependent),Low–Medium,OA|DSA interviews (2–3)|Hiring manager|Bar raiser (sometimes),Think aloud; tradeoffs; complexity analysis,Impact metrics; links to live demos/GitHub,Critical differentiator for frontend/product roles,Why this company?|Conflict with PM|Failure story|Ownership example,Projects + medium DSA + system basics,Your path: frontend/product engineer—portfolio > 500 CP problems.
startups,Startups,startup,Take-home + live coding + culture fit; often no standardized OA,Varies—practical coding + ship mentality,Low,Take-home assignment|Founder/tech chat|Pair programming,"Authentic, curious, show what you shipped",Links > GPA; show velocity,Primary hiring signal,Why startup?|Comfort with ambiguity|Side projects|48-hour task approach,Ship proof + culture fit,Lead with HireLens + Anony Talk demos; contribute to open source.
