question_id,title,url,platform,difficulty,topic,subtopic,pattern,companies,frequency,estimated_time,revision_priority,explanation_url,video_url,neetcode_ref,striver_ref,tags,xp_reward,unlock_level,prerequisites,level,category,alt_url
arr-l1-1,Find Maximum Element,https://leetcode.com/problems/find-maximum-element-in-an-array/,LeetCode,Easy,arrays,iteration,iteration,TCS,medium,20,low,,,,,Iteration,50,1,,1,beginner,
arr-l1-2,Contains Duplicate,https://leetcode.com/problems/contains-duplicate/,LeetCode,Easy,arrays,hashset,hashset,Amazon|Google,high,20,high,,,,,Hashset,50,1,,1,easy,
arr-l1-3,Two Sum,https://leetcode.com/problems/two-sum/,LeetCode,Easy,two-pointer,hashmap,hashmap,Amazon|Digital|Google|Intuit|TCS|Tcs Digital,very-high,20,critical,,,two-sum,,Complement|Hashmap,50,1,,1,easy,
arr-l2-1,Best Time to Buy and Sell Stock,https://leetcode.com/problems/best-time-to-buy-and-sell-stock/,LeetCode,Easy,arrays,kadane-variant,kadane-variant,Goldman Sachs|Infosys|Intuit|Microsoft,very-high,20,critical,,,,,Kadane Variant,50,2,,2,easy,
arr-l2-2,Product of Array Except Self,https://leetcode.com/problems/product-of-array-except-self/,LeetCode,Medium,arrays,prefix-suffix,prefix-suffix,Adobe|Apple|Facebook|Microsoft,high,40,high,,,,,Prefix Suffix,50,2,,2,medium,
arr-l2-3,Maximum Subarray,https://leetcode.com/problems/maximum-subarray/,LeetCode,Medium,arrays,kadane,kadane,Facebook|LinkedIn|Microsoft|Wipro,very-high,40,critical,,,,kadanes-algorithm,Kadane,50,2,,2,medium,
arr-l3-1,Merge Intervals,https://leetcode.com/problems/merge-intervals/,LeetCode,Medium,arrays,sorting,sorting,Capgemini|Meta,high,40,high,,,,,Sort|Sorting,50,3,,3,interview,
arr-l3-2,Rotate Array,https://leetcode.com/problems/rotate-array/,LeetCode,Medium,arrays,reverse,reverse,Microsoft,high,40,medium,,,,,Reverse,50,3,,3,interview,
arr-l4-1,First Missing Positive,https://leetcode.com/problems/first-missing-positive/,LeetCode,Hard,arrays,index-marking,index-marking,Google,medium,60,medium,,,,,Index Marking,50,4,,4,mock,
str-l1-1,Valid Palindrome,https://leetcode.com/problems/valid-palindrome/,LeetCode,Easy,strings,two-pointer,two-pointer,Morgan Stanley|TCS,high,20,medium,,,,,Opposite|Two Pointer,50,1,,1,beginner,
str-l1-2,Valid Anagram,https://leetcode.com/problems/valid-anagram/,LeetCode,Easy,strings,frequency,frequency,Cognizant|Media.net,high,20,high,,,,,Frequency,50,1,,1,easy,
str-l2-1,Longest Common Prefix,https://leetcode.com/problems/longest-common-prefix/,LeetCode,Easy,strings,scan,scan,Adobe|Amazon|Dunzo|Goldman Sachs|Grofers,medium,20,medium,,,,,Scan,50,2,,2,easy,
str-l2-2,Longest Substring Without Repeating Characters,https://leetcode.com/problems/longest-substring-without-repeating-characters/,LeetCode,Medium,sliding-window,sliding-window,sliding-window,Amazon|Morgan Stanley|Uber,very-high,40,critical,,,longest-substring-without-repeating-characters,,Sliding Window|Variable Window,50,2,,2,medium,
str-l3-2,Encode and Decode Strings,https://leetcode.com/problems/encode-and-decode-strings/,LeetCode,Medium,strings,design,design,Google,medium,40,medium,,,,,Design,50,3,,3,interview,
str-l4-1,Minimum Window Substring,https://leetcode.com/problems/minimum-window-substring/,LeetCode,Hard,sliding-window,sliding-window,sliding-window,Adobe|Facebook|Media.net,high,60,critical,,,,,Sliding Window|Variable Window,50,4,,4,mock,
hm-l1-1,Ransom Note,https://leetcode.com/problems/ransom-note/,LeetCode,Easy,hashmaps,frequency,frequency,Accenture,medium,20,low,,,,,Frequency,50,1,,1,beginner,
hm-l2-1,Group Anagrams,https://leetcode.com/problems/group-anagrams/,LeetCode,Medium,hashmaps,grouping,grouping,Adobe|Amazon|Bloomberg|Meta|Samsung,high,40,high,,,,,Grouping|Hashmap Grouping,50,2,,2,medium,
hm-l2-2,Top K Frequent Elements,https://leetcode.com/problems/top-k-frequent-elements/,LeetCode,Medium,hashmaps,bucket-sort,bucket-sort,Amazon|Microsoft,high,40,high,,,,,Bucket Sort|Heap,50,2,,2,medium,
